SUBJ,CRS,SEC,TITLE,INSTRUCTORS,CRN,MIN_CRED,MAX_CRED,DAYS,TIME,RM_CAP,ENRL,GLOB_CAP,LOC_CAP,AVAIL,STAT,FIRECAP,CAMPUS,COLLEGE,LEVEL,COREQS,RESTRICTIONS,PREREQS,COMMENTs
HIS,150,B3,World History to 1500,Backes (Matthew W.),[21979],  3.0,     ,MWF,09:10AM-10:10AM,48,   23,,   30,    7,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,,
HIS,151,A1,World History Since 1500,Frary (Lucien),[21370],  3.0,     ,MWF,08:00AM-09:00AM,48,   28,,   30,    2,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,B1,World History Since 1500,Paulsson (Martin W.),[21371],  3.0,     ,MWF,09:10AM-10:10AM,40,   31,,   30,   -1,CLSD,41,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,C1,World History Since 1500,Frary (Lucien),[21372],  3.0,     ,MWF,10:20AM-11:20AM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate| ONLY Continuing Studies& Education& Fine and Performing Arts& Liberal Arts and Sciences,HIS 150,
HIS,151,C2,World History Since 1500,Paulsson (Martin W.),[21373],  3.0,     ,MWF,10:20AM-11:20AM,40,   31,,   30,   -1,CLSD,41,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,D1,World History Since 1500,Rattan (Pratima),[21374],  3.0,     ,MWF,11:30AM-12:30PM,40,   29,,   30,    1,OPEN,41,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,E1,World History Since 1500,Callahan (Thomas),[21375],  3.0,     ,TTH,08:00AM-09:30AM,40,   27,,   30,    3,OPEN,41,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,E2,World History Since 1500,Backes (Matthew W.),[21376],  3.0,     ,TTH,08:00AM-09:30AM,48,   13,,   30,   17,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,F1,World History Since 1500,Gowaskie (Joseph M.),[21377],  3.0,     ,TTH,09:45AM-11:15AM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,G1,World History Since 1500,Osborne (Anne R.),[21378],  3.0,     ,MW,01:10PM-02:40PM,48,   24,,   30,    6,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,G2,World History Since 1500,Wojie (Joseph),[21379],  3.0,     ,MW,01:10PM-02:40PM,48,   27,,   30,    3,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,H1,World History Since 1500,Rattan (Pratima),[21380],  3.0,     ,MWF,01:10PM-02:10PM,35,   18,,   30,   12,OPEN,36,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,I1,World History Since 1500,McDonald (Roderick A.),[21381],  3.0,     ,MW,02:50PM-04:20PM,40,   27,,   30,    3,OPEN,41,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,K1,World History Since 1500,Ryan (Erica J.),[21382],  3.0,     ,MW,04:30PM-06:00PM,48,   24,,   30,    6,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,L1,World History Since 1500,Shepardson (Nikki),[20150],  3.0,     ,TTH,01:10PM-02:40PM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,N1,World History Since 1500,Gowaskie (Joseph M.),[21383],  3.0,     ,TTH,02:50PM-04:20PM,48,   29,,   30,    1,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,151,N2,World History Since 1500,Shepardson (Nikki),[21384],  3.0,     ,TTH,02:50PM-04:20PM,48,   28,,   30,    2,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Business Administration,HIS 150,
HIS,208,D1,U.S. History I,Hunter (Brooke B.),[20153],  3.0,     ,MWF,11:30AM-12:30PM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,209,G1,U.S. History II,Ryan (Erica J.),[20154],  3.0,     ,MW,01:10PM-02:40PM,48,   27,,   30,    3,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,215,B1,Europe Since 1715,Frary (Lucien),[21386],  3.0,     ,MWF,09:10AM-10:10AM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,274,D1,Modern Russia,Frary (Lucien),[21387],  3.0,     ,MWF,11:30AM-12:30PM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,288,G1,African History,McDonald (Roderick A.),[21388],  3.0,     ,MW,01:10PM-02:40PM,40,   26,,   30,    4,OPEN,41,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,299,C1,American Environmental History,Hunter (Brooke B.),[21688],  3.0,     ,MWF,10:20AM-11:20AM,30,   30,,   30,    0,CLSD,31,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,301,L1,Constitutional History of U.S.,Gowaskie (Joseph M.),[21389],  3.0,     ,TTH,01:10PM-02:40PM,48,   24,,   30,    6,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,304,NN,Civil War and Reconstruction,McDonald (Roderick A.),[21390],  3.0,     ,TH,01:10PM-04:10PM,21,   13,,   30,   17,OPEN,22,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,316,F1,History of Ancient Rome,Callahan (Thomas),[21391],  3.0,     ,TTH,09:45AM-11:15AM,48,   31,,   30,   -1,CLSD,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,331,TEO,Renaissance and Reformation,Shepardson (Nikki),[21392],  3.0,     ,T,06:30PM-09:30PM,48,   14,30,   20,    6,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate| NO Continuing Studies,,
HIS,331,TER,Renaissance and Reformation,Shepardson (Nikki),[21393],  3.0,     ,T,06:30PM-09:30PM,48,    2,30,   10,    8,OPEN,49,LAW,LA,UG,,| ONLY Undergraduate,,
HIS,360,K1,Seminar in Historiography,Osborne (Anne R.),[20162],  3.0,     ,MW,04:30PM-06:00PM,16,   11,,   15,    4,OPEN,17,LAW,LA,UG,,| ONLY Undergraduate,,Instructor Signature Required
HIS,360,K2,Seminar in Historiography,Hunter (Brooke B.),[21842],  3.0,     ,MW,04:30PM-06:00PM,16,   12,,   16,    4,OPEN,17,LAW,LA,UG,,| ONLY Undergraduate,,Instructor Signature Required
HIS,371,I1,SpTop/HIS:Gen&Sex in US His,Ryan (Erica J.),[21394],  3.0,     ,MW,02:50PM-04:20PM,48,   22,,   30,    8,OPEN,49,LAW,LA,UG,,,,
HIS,460,BB,History & Historical Methods,Callahan (Thomas),[20166],  3.0,     ,W,08:20AM-11:20AM,16,   12,,   15,    3,OPEN,17,LAW,LA,UG,,| ONLY Undergraduate,,Instructor Signature Required
HIS,490,01,IS: Reading in the Russ Revolu,Frary (Lucien),[20167],  1.0,  4.0,,,,    1,,    5,    4,OPEN,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
HIS,490,02,Seminar in History,Frary (Lucien),[21840],  1.0,  4.0,,,,    2,,    1,   -1,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
HIS,490,03,IS:US-Indian Relations,Hunter (Brooke B.),[22060],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
HIS,490,04,IS:Read on Britain Col Pol,Callahan (Thomas),[22066],  1.0,  4.0,,,,    1,,    1,    0,CLSD,,LAW,LA,UG,,| ONLY Undergraduate,,Academic Coordinator Signature
